| end of split   1 /  1 | epoch   1 | time:  1.33s | valid loss  2.97 | valid ppl    19.42 | learning rate 1.0000
| end of split   1 /  1 | epoch   2 | time:  1.10s | valid loss  2.84 | valid ppl    17.04 | learning rate 1.0000
| end of split   1 /  1 | epoch   3 | time:  1.01s | valid loss  2.58 | valid ppl    13.19 | learning rate 1.0000
| end of split   1 /  1 | epoch   4 | time:  1.19s | valid loss  2.37 | valid ppl    10.67 | learning rate 1.0000
| end of split   1 /  1 | epoch   5 | time:  1.13s | valid loss  2.22 | valid ppl     9.24 | learning rate 1.0000
| end of split   1 /  1 | epoch   6 | time:  1.10s | valid loss  2.16 | valid ppl     8.65 | learning rate 1.0000
| end of split   1 /  1 | epoch   7 | time:  1.24s | valid loss  2.07 | valid ppl     7.95 | learning rate 1.0000
| end of split   1 /  1 | epoch   8 | time:  1.16s | valid loss  2.04 | valid ppl     7.72 | learning rate 1.0000
| end of split   1 /  1 | epoch   9 | time:  1.02s | valid loss  1.98 | valid ppl     7.24 | learning rate 1.0000
| end of split   1 /  1 | epoch  10 | time:  1.03s | valid loss  1.95 | valid ppl     6.99 | learning rate 1.0000
| end of split   1 /  1 | epoch  11 | time:  1.03s | valid loss  1.91 | valid ppl     6.73 | learning rate 1.0000
| end of split   1 /  1 | epoch  12 | time:  1.10s | valid loss  1.87 | valid ppl     6.47 | learning rate 1.0000
| end of split   1 /  1 | epoch  13 | time:  1.08s | valid loss  1.85 | valid ppl     6.33 | learning rate 1.0000
| end of split   1 /  1 | epoch  14 | time:  1.02s | valid loss  1.83 | valid ppl     6.24 | learning rate 1.0000
| end of split   1 /  1 | epoch  15 | time:  1.03s | valid loss  1.78 | valid ppl     5.95 | learning rate 1.0000
| end of split   1 /  1 | epoch  16 | time:  1.01s | valid loss  1.78 | valid ppl     5.93 | learning rate 1.0000
| end of split   1 /  1 | epoch  17 | time:  1.05s | valid loss  1.75 | valid ppl     5.78 | learning rate 1.0000
| end of split   1 /  1 | epoch  18 | time:  1.02s | valid loss  1.73 | valid ppl     5.63 | learning rate 1.0000
| end of split   1 /  1 | epoch  19 | time:  1.07s | valid loss  1.72 | valid ppl     5.56 | learning rate 1.0000
| end of split   1 /  1 | epoch  20 | time:  1.11s | valid loss  1.70 | valid ppl     5.50 | learning rate 1.0000
TEST: valid loss  1.52 | valid ppl     4.59
| end of split   1 /  1 | epoch   1 | time:  1.13s | valid loss  2.92 | valid ppl    18.63 | learning rate 1.0000
| end of split   1 /  1 | epoch   2 | time:  3.53s | valid loss  2.87 | valid ppl    17.60 | learning rate 1.0000
| end of split   1 /  1 | epoch   3 | time:  1.11s | valid loss  2.56 | valid ppl    12.94 | learning rate 1.0000
| end of split   1 /  1 | epoch   4 | time:  1.07s | valid loss  2.36 | valid ppl    10.55 | learning rate 1.0000
| end of split   1 /  1 | epoch   5 | time:  1.04s | valid loss  2.22 | valid ppl     9.17 | learning rate 1.0000
| end of split   1 /  1 | epoch   6 | time:  1.00s | valid loss  2.13 | valid ppl     8.46 | learning rate 1.0000
| end of split   1 /  1 | epoch   7 | time:  1.03s | valid loss  2.06 | valid ppl     7.81 | learning rate 1.0000
| end of split   1 /  1 | epoch   8 | time:  1.00s | valid loss  2.02 | valid ppl     7.53 | learning rate 1.0000
| end of split   1 /  1 | epoch   9 | time:  1.03s | valid loss  1.96 | valid ppl     7.10 | learning rate 1.0000
| end of split   1 /  1 | epoch  10 | time:  1.17s | valid loss  1.93 | valid ppl     6.88 | learning rate 1.0000
| end of split   1 /  1 | epoch  11 | time:  1.30s | valid loss  1.89 | valid ppl     6.61 | learning rate 1.0000
| end of split   1 /  1 | epoch  12 | time:  1.01s | valid loss  1.85 | valid ppl     6.37 | learning rate 1.0000
| end of split   1 /  1 | epoch  13 | time:  1.30s | valid loss  1.85 | valid ppl     6.35 | learning rate 1.0000
| end of split   1 /  1 | epoch  14 | time:  0.98s | valid loss  1.81 | valid ppl     6.11 | learning rate 1.0000
| end of split   1 /  1 | epoch  15 | time:  1.15s | valid loss  1.77 | valid ppl     5.90 | learning rate 1.0000
| end of split   1 /  1 | epoch  16 | time:  1.18s | valid loss  1.75 | valid ppl     5.76 | learning rate 1.0000
| end of split   1 /  1 | epoch  17 | time:  0.86s | valid loss  1.75 | valid ppl     5.77 | learning rate 1.0000
| end of split   1 /  1 | epoch  18 | time:  0.98s | valid loss  1.72 | valid ppl     5.57 | learning rate 1.0000
| end of split   1 /  1 | epoch  19 | time:  0.97s | valid loss  1.67 | valid ppl     5.33 | learning rate 1.0000
| end of split   1 /  1 | epoch  20 | time:  0.88s | valid loss  1.69 | valid ppl     5.40 | learning rate 1.0000
TEST: valid loss  1.50 | valid ppl     4.49
