| end of split   1 /  4 | epoch   1 | time:  1.01s | valid loss  8.61 | valid ppl  5489.92 | learning rate 20.0000
TEST: valid loss  4.14 | valid ppl    62.64
| end of split   1 /  4 | epoch   1 | time:  1.01s | valid loss  5.42 | valid ppl   226.46 | learning rate 1.0000
| end of split   2 /  4 | epoch   1 | time:  1.16s | valid loss  3.67 | valid ppl    39.24 | learning rate 1.0000
| end of split   3 /  4 | epoch   1 | time:  0.89s | valid loss  3.67 | valid ppl    39.44 | learning rate 1.0000
| end of split   4 /  4 | epoch   1 | time:  1.28s | valid loss  3.55 | valid ppl    34.66 | learning rate 1.0000
| end of split   1 /  4 | epoch   2 | time:  0.92s | valid loss  3.64 | valid ppl    38.04 | learning rate 1.0000
| end of split   2 /  4 | epoch   2 | time:  1.18s | valid loss  3.53 | valid ppl    34.08 | learning rate 1.0000
TEST: valid loss  3.49 | valid ppl    32.63
TEST: valid loss  9.19 | valid ppl  9764.33
| end of split   1 /  1 | epoch   1 | time:  1.87s | valid loss  8.74 | valid ppl  6256.86 | learning rate 1.0000
TEST: valid loss  8.74 | valid ppl  6261.38
TEST: valid loss  3.40 | valid ppl    29.89
| end of split   1 /  1 | epoch   1 | time:  1.09s | valid loss  3.37 | valid ppl    29.02 | learning rate 1.0000
| end of split   1 /  1 | epoch   2 | time:  1.03s | valid loss  3.36 | valid ppl    28.74 | learning rate 1.0000
| end of split   1 /  1 | epoch   3 | time:  0.98s | valid loss  3.34 | valid ppl    28.23 | learning rate 1.0000
| end of split   1 /  1 | epoch   4 | time:  0.98s | valid loss  3.34 | valid ppl    28.30 | learning rate 1.0000
| end of split   1 /  1 | epoch   5 | time:  1.08s | valid loss  3.32 | valid ppl    27.71 | learning rate 1.0000
| end of split   1 /  1 | epoch   6 | time:  1.37s | valid loss  3.32 | valid ppl    27.53 | learning rate 1.0000
| end of split   1 /  1 | epoch   7 | time:  1.18s | valid loss  3.27 | valid ppl    26.38 | learning rate 1.0000
| end of split   1 /  1 | epoch   8 | time:  1.05s | valid loss  3.22 | valid ppl    25.08 | learning rate 1.0000
| end of split   1 /  1 | epoch   9 | time:  1.00s | valid loss  3.17 | valid ppl    23.70 | learning rate 1.0000
| end of split   1 /  1 | epoch  10 | time:  1.30s | valid loss  3.09 | valid ppl    21.93 | learning rate 1.0000
| end of split   1 /  1 | epoch  11 | time:  1.11s | valid loss  2.97 | valid ppl    19.40 | learning rate 1.0000
| end of split   1 /  1 | epoch  12 | time:  0.99s | valid loss  2.91 | valid ppl    18.32 | learning rate 1.0000
| end of split   1 /  1 | epoch  13 | time:  1.08s | valid loss  2.85 | valid ppl    17.22 | learning rate 1.0000
| end of split   1 /  1 | epoch  14 | time:  1.08s | valid loss  2.81 | valid ppl    16.63 | learning rate 1.0000
| end of split   1 /  1 | epoch  15 | time:  1.86s | valid loss  2.77 | valid ppl    16.04 | learning rate 1.0000
| end of split   1 /  1 | epoch  16 | time:  0.93s | valid loss  2.75 | valid ppl    15.71 | learning rate 1.0000
| end of split   1 /  1 | epoch  17 | time:  0.96s | valid loss  2.72 | valid ppl    15.18 | learning rate 1.0000
| end of split   1 /  1 | epoch  18 | time:  0.94s | valid loss  2.70 | valid ppl    14.91 | learning rate 1.0000
| end of split   1 /  1 | epoch  19 | time:  0.96s | valid loss  2.68 | valid ppl    14.65 | learning rate 1.0000
| end of split   1 /  1 | epoch  20 | time:  0.95s | valid loss  2.66 | valid ppl    14.33 | learning rate 1.0000
| end of split   1 /  1 | epoch  21 | time:  0.98s | valid loss  2.63 | valid ppl    13.90 | learning rate 1.0000
| end of split   1 /  1 | epoch  22 | time:  1.44s | valid loss  2.62 | valid ppl    13.67 | learning rate 1.0000
| end of split   1 /  1 | epoch  23 | time:  1.31s | valid loss  2.59 | valid ppl    13.29 | learning rate 1.0000
| end of split   1 /  1 | epoch  24 | time:  1.02s | valid loss  2.58 | valid ppl    13.22 | learning rate 1.0000
| end of split   1 /  1 | epoch  25 | time:  1.06s | valid loss  2.56 | valid ppl    12.88 | learning rate 1.0000
| end of split   1 /  1 | epoch  26 | time:  0.98s | valid loss  2.54 | valid ppl    12.70 | learning rate 1.0000
| end of split   1 /  1 | epoch  27 | time:  1.02s | valid loss  2.53 | valid ppl    12.61 | learning rate 1.0000
| end of split   1 /  1 | epoch  28 | time:  0.99s | valid loss  2.52 | valid ppl    12.39 | learning rate 1.0000
| end of split   1 /  1 | epoch  29 | time:  1.00s | valid loss  2.51 | valid ppl    12.33 | learning rate 1.0000
| end of split   1 /  1 | epoch  30 | time:  1.02s | valid loss  2.49 | valid ppl    12.05 | learning rate 1.0000
| end of split   1 /  1 | epoch  31 | time:  0.91s | valid loss  2.50 | valid ppl    12.13 | learning rate 1.0000
| end of split   1 /  1 | epoch  32 | time:  0.98s | valid loss  2.47 | valid ppl    11.87 | learning rate 1.0000
| end of split   1 /  1 | epoch  33 | time:  0.99s | valid loss  2.45 | valid ppl    11.64 | learning rate 1.0000
| end of split   1 /  1 | epoch  34 | time:  0.97s | valid loss  2.43 | valid ppl    11.37 | learning rate 1.0000
| end of split   1 /  1 | epoch  35 | time:  0.98s | valid loss  2.42 | valid ppl    11.25 | learning rate 1.0000
| end of split   1 /  1 | epoch  36 | time:  1.02s | valid loss  2.41 | valid ppl    11.14 | learning rate 1.0000
| end of split   1 /  1 | epoch  37 | time:  0.96s | valid loss  2.41 | valid ppl    11.09 | learning rate 1.0000
| end of split   1 /  1 | epoch  38 | time:  0.98s | valid loss  2.38 | valid ppl    10.84 | learning rate 1.0000
