| end of split   1 /  1 | epoch   1 | time:  1.13s | valid loss  2.94 | valid ppl    18.85 | learning rate 1.0000
| end of split   1 /  1 | epoch   2 | time:  1.05s | valid loss  2.77 | valid ppl    15.93 | learning rate 1.0000
| end of split   1 /  1 | epoch   3 | time:  1.00s | valid loss  2.53 | valid ppl    12.57 | learning rate 1.0000
| end of split   1 /  1 | epoch   4 | time:  1.11s | valid loss  2.31 | valid ppl    10.11 | learning rate 1.0000
| end of split   1 /  1 | epoch   5 | time:  0.99s | valid loss  2.19 | valid ppl     8.91 | learning rate 1.0000
| end of split   1 /  1 | epoch   6 | time:  1.18s | valid loss  2.11 | valid ppl     8.22 | learning rate 1.0000
| end of split   1 /  1 | epoch   7 | time:  1.06s | valid loss  2.06 | valid ppl     7.85 | learning rate 1.0000
| end of split   1 /  1 | epoch   8 | time:  1.12s | valid loss  2.01 | valid ppl     7.44 | learning rate 1.0000
| end of split   1 /  1 | epoch   9 | time:  0.97s | valid loss  1.98 | valid ppl     7.22 | learning rate 1.0000
| end of split   1 /  1 | epoch  10 | time:  1.11s | valid loss  1.95 | valid ppl     7.00 | learning rate 1.0000
| end of split   1 /  1 | epoch  11 | time:  1.06s | valid loss  1.91 | valid ppl     6.72 | learning rate 1.0000
| end of split   1 /  1 | epoch  12 | time:  1.07s | valid loss  1.85 | valid ppl     6.39 | learning rate 1.0000
| end of split   1 /  1 | epoch  13 | time:  1.06s | valid loss  1.82 | valid ppl     6.19 | learning rate 1.0000
| end of split   1 /  1 | epoch  14 | time:  1.09s | valid loss  1.82 | valid ppl     6.18 | learning rate 1.0000
| end of split   1 /  1 | epoch  15 | time:  1.26s | valid loss  1.78 | valid ppl     5.92 | learning rate 1.0000
| end of split   1 /  1 | epoch  16 | time:  1.03s | valid loss  1.75 | valid ppl     5.78 | learning rate 1.0000
| end of split   1 /  1 | epoch  17 | time:  1.23s | valid loss  1.74 | valid ppl     5.69 | learning rate 1.0000
| end of split   1 /  1 | epoch  18 | time:  1.05s | valid loss  1.73 | valid ppl     5.64 | learning rate 1.0000
| end of split   1 /  1 | epoch  19 | time:  1.08s | valid loss  1.67 | valid ppl     5.33 | learning rate 1.0000
| end of split   1 /  1 | epoch  20 | time:  0.87s | valid loss  1.69 | valid ppl     5.40 | learning rate 1.0000
TEST: valid loss  1.47 | valid ppl     4.37
| end of split   1 /  1 | epoch   1 | time:  1.38s | valid loss  2.94 | valid ppl    18.85 | learning rate 1.0000
| end of split   1 /  1 | epoch   2 | time:  1.05s | valid loss  2.80 | valid ppl    16.37 | learning rate 1.0000
| end of split   1 /  1 | epoch   3 | time:  1.27s | valid loss  2.55 | valid ppl    12.84 | learning rate 1.0000
| end of split   1 /  1 | epoch   4 | time:  1.16s | valid loss  2.33 | valid ppl    10.32 | learning rate 1.0000
| end of split   1 /  1 | epoch   5 | time:  1.41s | valid loss  2.19 | valid ppl     8.94 | learning rate 1.0000
| end of split   1 /  1 | epoch   6 | time:  1.02s | valid loss  2.12 | valid ppl     8.36 | learning rate 1.0000
| end of split   1 /  1 | epoch   7 | time:  0.98s | valid loss  2.08 | valid ppl     7.99 | learning rate 1.0000
| end of split   1 /  1 | epoch   8 | time:  1.28s | valid loss  2.06 | valid ppl     7.87 | learning rate 1.0000
| end of split   1 /  1 | epoch   9 | time:  1.02s | valid loss  1.99 | valid ppl     7.28 | learning rate 1.0000
| end of split   1 /  1 | epoch  10 | time:  1.13s | valid loss  1.97 | valid ppl     7.19 | learning rate 1.0000
| end of split   1 /  1 | epoch  11 | time:  1.00s | valid loss  1.89 | valid ppl     6.64 | learning rate 1.0000
| end of split   1 /  1 | epoch  12 | time:  1.04s | valid loss  1.86 | valid ppl     6.43 | learning rate 1.0000
| end of split   1 /  1 | epoch  13 | time:  0.95s | valid loss  1.85 | valid ppl     6.35 | learning rate 1.0000
| end of split   1 /  1 | epoch  14 | time:  1.23s | valid loss  1.81 | valid ppl     6.09 | learning rate 1.0000
| end of split   1 /  1 | epoch  15 | time:  1.13s | valid loss  1.76 | valid ppl     5.81 | learning rate 1.0000
| end of split   1 /  1 | epoch  16 | time:  1.55s | valid loss  1.74 | valid ppl     5.72 | learning rate 1.0000
| end of split   1 /  1 | epoch  17 | time:  0.95s | valid loss  1.72 | valid ppl     5.59 | learning rate 1.0000
| end of split   1 /  1 | epoch  18 | time:  0.83s | valid loss  1.73 | valid ppl     5.62 | learning rate 1.0000
| end of split   1 /  1 | epoch  19 | time:  1.10s | valid loss  1.69 | valid ppl     5.42 | learning rate 1.0000
| end of split   1 /  1 | epoch  20 | time:  1.16s | valid loss  1.67 | valid ppl     5.29 | learning rate 1.0000
TEST: valid loss  1.49 | valid ppl     4.46
